date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2012-01-01,6.7,1.5,11.9,0.5,0,,14,,,
2012-01-02,,0,8.9,0,0,,25,,,
2012-01-03,-3.6,-7.4,0.3,0,0,,25,,,
2012-01-04,-5.8,-10.3,-1.3,0.3,0,,15,,,
2012-01-05,1.1,-2.5,4.7,0,0,,11,,,
2012-01-06,5,-3.3,13.3,0,0,,10,,,
2012-01-07,8.9,0.5,17.2,0,0,,13,,,
2012-01-08,4.6,0.3,8.9,0,0,,14,,,
2012-01-09,1.8,-1.5,5,0,0,,5,,,
2012-01-10,4.5,-0.6,9.6,0,0,,14,,,
2012-01-11,3.8,-2.7,10.3,10.3,0,,11,,,
2012-01-12,8.2,4.9,11.5,16.4,0,,11,,,
2012-01-13,4.2,-2,10.4,1.2,0,,33,,,
2012-01-14,-0.7,-3,1.7,0,0,,22,,,
2012-01-15,-4.9,-7.8,-2,0,0,,17,,,
2012-01-16,-2.8,-8.6,3.1,1,0,,13,,,
2012-01-17,7.6,2.6,12.6,7.2,0,,20,,,
2012-01-18,4.5,-3.4,12.3,0,0,,24,,,
2012-01-19,-2.5,-7.2,2.3,0,0,,12,,,
2012-01-20,-0.4,-2.5,1.7,0,0,,14,,,
2012-01-21,-2.4,-4.1,-0.6,10.8,51,,18,,,
2012-01-22,-3.2,-7.1,0.8,0,51,,15,,,
2012-01-23,5.7,0.8,10.5,6.9,25,,10,,,
2012-01-24,8.1,4.1,12,0,0,,14,,,
2012-01-25,5.1,2.5,7.6,0,0,,11,,,
2012-01-26,5.1,3,7.2,1.3,0,,10,,,
2012-01-27,10.9,5.6,16.1,9.8,0,,21,,,
2012-01-28,4.9,0.3,9.4,0,0,,16,,,
2012-01-29,2.9,-1.2,7,0,0,,19,,,
2012-01-30,2.8,0.1,5.4,0,0,,19,,,
2012-01-31,8.9,1.2,16.5,0,0,,13,,,
2012-02-01,13.6,8,19.2,0.4,0,,16,,,
2012-02-02,7,3.7,10.3,0,0,,17,,,
2012-02-03,3.5,-0.8,7.8,0,0,,12,,,
2012-02-04,2.8,-1.4,7,0.6,0,,7,,,
2012-02-05,2.9,-0.9,6.7,0,0,,14,,,
2012-02-06,3.9,-3.1,10.9,0,0,,16,,,
2012-02-07,5,-0.9,10.9,0,0,,14,,,
2012-02-08,1.9,-0.5,4.2,2.6,0,,10,,,
2012-02-09,2.7,-1.1,6.4,0,0,,14,,,
2012-02-10,1.7,-3.6,7,0.1,0,,8,,,
2012-02-11,-0.3,-3.6,3.1,6.9,0,,15,,,
2012-02-12,-3.9,-7.5,-0.2,0,25,,29,,,
2012-02-13,1.2,-4.4,6.7,0,0,,19,,,
2012-02-14,5.6,0.3,10.8,0,0,,7,,,
2012-02-15,5.3,0.6,10,0,0,,10,,,
2012-02-16,,0,6.4,3.9,0,,5,,,
2012-02-17,6.2,1.5,10.9,0,0,,14,,,
2012-02-18,,0,11.1,0,0,,16,,,
2012-02-19,3.6,-0.5,7.6,0,0,,13,,,
2012-02-20,4.2,-0.3,8.7,0,0,,19,,,
2012-02-21,3.7,-2.3,9.7,0,0,,13,,,
2012-02-22,9.1,2.8,15.4,0,0,,13,,,
2012-02-23,12.3,7.8,16.7,0,0,,17,,,
